2025-12-26 20:23:49.308593 | BLOCKED 10.44.17.247 | Packets: 40
2025-12-26 20:24:03.765473 | BLOCKED 10.44.17.150 | Packets: 40
2025-12-26 20:24:06.604569 | BLOCKED 104.18.32.47 | Packets: 40
2025-12-28 18:18:52.250450 | IP:52.97.123.66 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:19:14.353816 | IP:150.171.22.11 | Packets:50 | Risk:MEDIUM | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:19:15.174390 | IP:20.194.184.156 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:20:20.389849 | IP:104.18.43.204 | Packets:50 | Risk:MEDIUM | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:20:32.096262 | IP:150.171.27.11 | Packets:50 | Risk:HIGH | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:26:14.251999 | IP:10.44.17.247 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:26:47.127108 | IP:23.206.197.107 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:26:48.657310 | IP:142.250.202.46 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:26:57.738343 | IP:10.44.17.150 | Packets:50 | Risk:HIGH | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:27:33.025825 | IP:104.18.32.47 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:28:47.556653 | IP:23.206.197.91 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:31:02.297132 | IP:10.44.17.247 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:31:27.574144 | IP:23.206.197.129 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:31:39.195632 | IP:142.250.202.46 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:31:55.308575 | IP:10.44.17.150 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:32:02.796827 | IP:4.213.133.109 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:32:04.557435 | IP:104.18.32.47 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:32:05.065847 | IP:23.206.197.128 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:33:35.271213 | IP:20.42.72.131 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:33:40.377789 | IP:104.26.13.38 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:35:31.510554 | IP:10.44.17.247 | Packets:50 | Risk:HIGH | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:35:43.630293 | IP:10.44.17.150 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:35:57.306269 | IP:23.206.197.74 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:36:16.810688 | IP:142.250.202.46 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:36:20.160760 | IP:13.107.6.158 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:36:20.597065 | IP:4.213.133.109 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:36:31.064102 | IP:23.206.197.145 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:36:37.556862 | IP:104.18.32.47 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:37:34.612058 | IP:23.206.197.107 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:38:52.389495 | IP:10.44.17.247 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:38:57.760435 | IP:10.44.17.150 | Packets:50 | Risk:MEDIUM | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:39:01.308236 | IP:104.18.32.47 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:39:21.104003 | IP:142.250.202.46 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:39:36.419856 | IP:23.206.197.136 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:44:56.249526 | IP:10.44.17.247 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:47:18.639847 | IP:10.44.17.247 | Packets:50 | Risk:HIGH | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:47:38.658144 | IP:10.44.17.150 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:47:49.621536 | IP:23.206.197.139 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:48:04.526216 | IP:104.18.32.47 | Packets:50 | Risk:MEDIUM | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:48:13.279735 | IP:4.213.133.127 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:48:51.311135 | IP:23.206.197.99 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:49:15.573242 | IP:13.107.139.11 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:50:31.956355 | IP:10.44.17.247 | Packets:50 | Risk:HIGH | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:50:41.180237 | IP:10.44.17.150 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 18:51:20.765587 | IP:23.206.197.136 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 19:02:39.532091 | IP:10.44.17.247 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 19:02:44.821053 | IP:10.44.17.150 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 19:02:59.892090 | IP:172.64.155.209 | Packets:50 | Risk:HIGH | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 19:03:56.893742 | IP:142.250.202.42 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 20:18:21.908836 | IP:10.44.17.247 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 20:18:49.099373 | IP:23.206.197.107 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 20:19:12.718491 | IP:142.250.202.238 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 20:19:55.467620 | IP:2.16.158.40 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 20:20:50.995400 | IP:10.44.17.150 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 20:20:52.177301 | IP:2.16.158.97 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 20:21:26.053434 | IP:57.144.149.32 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 20:22:22.400693 | IP:23.206.197.123 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 20:24:03.889490 | IP:104.18.32.47 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 20:24:19.201340 | IP:23.206.197.139 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 20:25:19.956442 | IP:23.206.197.120 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 20:25:40.645568 | IP:104.18.39.21 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 20:26:13.969829 | IP:4.213.133.109 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 20:26:22.390467 | IP:13.89.179.9 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
